,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
0,laplap,single,idxvar,False,False,False,False,512,512,1,8,508,1,64,64,1,1,16378.0,16805.0,16184.0,22778.0
1,laplap,single,idxvar,True,False,False,False,512,512,1,8,508,1,64,64,1,1,18592.0,18560.0,17947.0,19790.0
2,laplap,double,idxvar,False,False,False,False,512,512,1,8,508,1,64,64,1,1,17182.0,17900.0,16490.0,30899.0
3,laplap,double,idxvar,True,False,False,False,512,512,1,8,508,1,64,64,1,1,25242.0,25495.0,24678.0,26829.0
4,laplap,single,idxvar,False,False,False,False,512,512,2,8,508,1,128,64,1,2,16432.0,16646.0,16163.0,17515.0
5,laplap,single,idxvar,True,False,False,False,512,512,2,8,508,1,128,64,1,2,26720.0,26785.0,26101.0,27902.0
6,laplap,double,idxvar,False,False,False,False,512,512,2,8,508,1,128,64,1,2,23378.0,23501.0,21640.0,26950.0
7,laplap,double,idxvar,True,False,False,False,512,512,2,8,508,1,128,64,1,2,33632.0,34179.0,32458.0,36430.0
8,laplap,single,idxvar,False,False,False,False,512,512,4,8,508,1,256,64,1,4,27948.0,28294.0,26224.0,36775.0
9,laplap,single,idxvar,True,False,False,False,512,512,4,8,508,1,256,64,1,4,39824.0,39884.0,38929.0,40812.0
10,laplap,double,idxvar,False,False,False,False,512,512,4,8,508,1,256,64,1,4,38398.0,37952.0,34982.0,40625.0
11,laplap,double,idxvar,True,False,False,False,512,512,4,8,508,1,256,64,1,4,52782.0,52327.0,47474.0,54945.0
12,laplap,single,idxvar,False,False,False,False,512,512,8,8,508,1,512,64,1,8,48228.0,48264.0,46925.0,52255.0
13,laplap,single,idxvar,True,False,False,False,512,512,8,8,508,1,512,64,1,8,61858.0,61653.0,59819.0,63167.0
14,laplap,double,idxvar,False,False,False,False,512,512,8,8,508,1,512,64,1,8,69403.0,68970.0,61453.0,80725.0
15,laplap,double,idxvar,True,False,False,False,512,512,8,8,508,1,512,64,1,8,91840.0,90530.0,80685.0,95555.0
16,laplap,single,idxvar,False,False,False,False,512,512,16,8,508,2,512,64,1,8,86774.0,86360.0,84255.0,87360.0
17,laplap,single,idxvar,True,False,False,False,512,512,16,8,508,2,512,64,1,8,113662.0,113981.0,112102.0,116679.0
18,laplap,double,idxvar,False,False,False,False,512,512,16,8,508,2,512,64,1,8,123026.0,122935.0,117472.0,130413.0
19,laplap,double,idxvar,True,False,False,False,512,512,16,8,508,2,512,64,1,8,170398.0,167912.0,157165.0,174873.0
20,laplap,single,idxvar,False,False,False,False,512,512,32,8,508,4,512,64,1,8,161771.0,162165.0,159136.0,166875.0
21,laplap,single,idxvar,True,False,False,False,512,512,32,8,508,4,512,64,1,8,219162.0,219017.0,215224.0,222592.0
22,laplap,double,idxvar,False,False,False,False,512,512,32,8,508,4,512,64,1,8,237296.0,234942.0,225648.0,243696.0
23,laplap,double,idxvar,True,False,False,False,512,512,32,8,508,4,512,64,1,8,322780.0,322004.0,309298.0,329352.0
24,laplap,single,idxvar,False,False,False,False,512,512,56,8,508,7,512,64,1,8,272628.0,272790.0,268600.0,277414.0
25,laplap,single,idxvar,True,False,False,False,512,512,56,8,508,7,512,64,1,8,385954.0,385253.0,380883.0,387710.0
26,laplap,double,idxvar,False,False,False,False,512,512,56,8,508,7,512,64,1,8,396812.0,396237.0,380938.0,414854.0
27,laplap,double,idxvar,True,False,False,False,512,512,56,8,508,7,512,64,1,8,557331.0,554682.0,535580.0,574430.0
28,laplap,single,idxvar,False,False,False,False,512,512,64,8,508,8,512,64,1,8,319405.0,319431.0,315112.0,324484.0
29,laplap,single,idxvar,True,False,False,False,512,512,64,8,508,8,512,64,1,8,435381.0,435070.0,431204.0,440501.0
30,laplap,double,idxvar,False,False,False,False,512,512,64,8,508,8,512,64,1,8,458192.0,459281.0,434431.0,475945.0
31,laplap,double,idxvar,True,False,False,False,512,512,64,8,508,8,512,64,1,8,639984.0,638661.0,621759.0,650157.0
